moves, ConstructKCBP, init-CD, CDtime, count(kCBP), count(real)
 10,44.0, 1704.00, 6.00, 2, 2
 600,45.0, 1763.00, 1645.00, 119, 103
 900,45.0, 1735.00, 2442.00, 139, 122
 200,44.0, 1746.00, 521.00, 30, 27
 700,45.0, 1719.00, 1422.00, 111, 92
 50,45.0, 1713.00, 16.00, 4, 3
 300,44.0, 1722.00, 366.00, 34, 29
 400,45.0, 1704.00, 794.00, 52, 42
 500,45.0, 1727.00, 1140.00, 76, 61
 800,44.0, 1722.00, 1645.00, 101, 80
 100,44.0, 1710.00, 168.00, 17, 15
 1000,45.0, 1714.00, 3582.00, 166, 141
