n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 13.00, 1.00,10, 1.00, 234.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 26.00, 1.00,20, 3.00, 381.00, 5, 0.00, 0.00, 0.00, 0.00, 5, 3, 1, 1, 1,
30, 39.00, 2.00,40, 4.00, 1691.00, 22, 1.00, 1.00, 0.00, 1.00, 22, 25, 9, 9, 7,
50, 65.00, 2.00,56, 6.00, 2485.00, 32, 2.00, 0.00, 0.00, 1.00, 32, 26, 15, 15, 12,
40, 55.00, 1.00,41, 5.00, 2272.00, 29, 1.00, 1.00, 1.00, 0.00, 29, 17, 10, 10, 9,
60, 78.00, 3.00,63, 6.00, 4063.00, 52, 2.00, 2.00, 1.00, 1.00, 52, 52, 27, 27, 22,
70, 92.00, 2.00,84, 8.00, 4483.00, 57, 3.00, 3.00, 1.00, 2.00, 57, 63, 31, 31, 22,
90, 117.00, 4.00,97, 9.00, 6053.00, 77, 3.00, 4.00, 2.00, 3.00, 77, 102, 52, 52, 38,
80, 104.00, 4.00,94, 9.00, 5607.00, 71, 3.00, 4.00, 2.00, 2.00, 71, 83, 33, 33, 29,
100, 130.00, 4.00,108, 11.00, 6908.00, 88, 5.00, 8.00, 4.00, 5.00, 88, 168, 81, 81, 62,
