k,ConstructKCBP,ConstructModelAABB,init-CD(kCBP-aabb),init-CD(kCBP-GJK),count(kCBP),count(real)
24.00,143.40,1022.40,11.00,12.00,183.00,170.00
10.00,113.40,1020.40,7.40,8.20,190.00,170.00
26.00,147.20,1022.80,11.60,12.60,184.00,169.00
12.00,120.20,1019.40,7.60,8.60,189.00,170.00
20.00,132.00,1021.80,9.40,10.80,184.00,169.00
14.00,121.60,1022.60,8.00,8.80,187.00,170.00
22.00,139.60,1020.60,10.40,11.80,183.00,169.00
16.00,124.60,1020.00,8.60,9.40,185.00,170.00
46.00,182.80,1018.00,16.80,18.40,175.00,169.00
18.00,127.40,1016.00,9.40,10.40,184.00,169.00
44.00,179.20,1016.40,16.00,17.60,177.00,169.00
30.00,153.20,1031.60,12.20,13.40,177.00,168.00
28.00,147.00,1022.00,12.00,13.00,179.00,169.00
36.00,162.60,1016.40,13.60,15.00,180.00,170.00
40.00,168.40,1017.80,14.60,16.40,177.00,169.00
34.00,162.60,1021.60,13.20,14.40,180.00,170.00
38.00,171.80,1019.40,14.20,15.80,177.00,169.00
6.00,106.20,1019.80,6.20,6.80,216.00,170.00
8.00,117.20,1017.60,6.80,7.40,204.00,170.00
32.00,153.40,1021.60,12.60,14.00,180.00,170.00
42.00,176.60,1021.00,15.20,17.20,177.00,169.00
